TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
10-07-2026,10-07-2026,CM,BSE,STK,532845,INE797H01018,TGBHOTELS,B,,,,,TGB BANQUETS AND HOTELS LTD.,8.9,8.9,8.85,8.85,8.85,8.73,,8.9,,,1501,13358,15,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532847,INE788H01017,HILTON,T,,,,,HILTON METAL FORGING LTD.,23,23.44,22.5,23.2,23.15,23.38,,23.22,,,497,11553,18,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532848,INE124G01033,DELTACORP,A,,,,,DELTA CORP LTD.,65.11,65.45,64.5,64.92,64.92,65.06,,64.99,,,95112,6180477,712,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532850,INE287C01037,MICEL,T,,,,,MIC ELECTRONICS LTD.,36.73,38.24,36.73,37.32,37.32,36.87,,37.34,,,15419,578203,117,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532851,INE070I01018,INSECTICID,B,,,,,INSECTICIDES (INDIA) LTD.,656.15,662.75,650.8,657.1,657.1,655.45,,659,,,1238,809572,67,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532853,INE228I01012,ASAHISONG,B,,,,,ASAHI SONGWON COLORS LTD.,280,280.8,270,274.2,271.4,275.9,,270.55,,,1058,291242,57,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532855,INE928H01019,HARYNACAP,X,,,,,HARYANA CAPFIN LTD.,142.05,149.9,139,146.55,146.55,145,,146.55,,,490,69602,18,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532856,INE508G01029,TIMETECHNO,A,,,,,TIME TECHNOPLAST LTD.,177.2,185.5,176.95,184.45,184.45,176.9,,184.35,,,133006,24224307,1417,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532859,INE170I01016,HGS,B,,,,,HINDUJA GLOBAL SOLUTIONS LTD.,411.85,422.6,411.85,413.05,412.7,407.1,,413.25,,,720,298135,48,F1,1,,,,,
10-07-2026,10-07-2026,CM,BSE,STK,532864,INE189I01024,NELCAST,B,,,,,NELCAST LTD.,134.95,140.9,133,139.8,140,134,,139.89,,,16301,2223221,308,F1,1,,,,,
